Name,State,Department,Type,People,Latitude,Longitude
Red Cloud Agency,NE,Department of the Interior,Office of Indian Affairs,6,42.66969,-103.43548
Walla Walla,WA,Judicial,Commissioner,1,46.0645809,-118.343021
Waco,TX,Judicial,Court,2,31.549333,-97.14667
Portland,OR,Judicial,Commissioner,1,45.5230622,-122.676482
Standing Rock Agency,ND,Department of the Interior,Office of Indian Affairs,14,46.0922614,-100.629022
Placerville,CA,Treasury Department,Internal Revenue_Deputy Collector,1,38.7296252,-120.798546
Las Vegas,NM,Judicial,Commissioner,1,35.5942137,-105.222798
Pendleton,OR,Judicial,Commissioner,1,45.672075,-118.788597
Trinidad,CO,Judicial,Commissioner,1,37.1694632,-104.500541
Omaha,NE,Judicial,Court,6,41.2523634,-95.997988
